Size,Paths,Distance,Walls,Class
464,1,20,259,0
42,1,4,24,0
132,1,10,69,1
171,2,6,100,1
42,1,10,21,1
64,1,14,25,1
2,1,1,0,1
42,1,7,19,1
143,1,12,70,1
42,1,10,31,1
400,1,35,219,0
2530,3,118,746,0
1564,1,78,746,0
441,2,39,236,1
1426,1,70,626,0
15251,2,70,6500,0
49,1,6,22,1
4235,2,86,1837,0
4235,2,86,1837,0
2530,2,16,1103,0
651,1,21,299,0
1560,2,21,680,0
1067,2,15,519,0
3876,2,125,1695,0
49,1,8,21,0
70,2,3,33,0
91,2,18,43,0
476,2,24,213,0
49,1,9,28,1
49,1,6,28,0
70,1,13,32,0
56,1,13,32,1
110,2,10,50,0
63,2,10,28,0
65,1,2,32,0
12467,2,161,5297,0
4636,3,29,2010,0
20,1,7,5,1
91,2,7,33,0
42,2,9,18,1
4257,2,106,1838,0
903,2,38,407,0
840,3,44,382,0
336,1,30,152,0
3171,2,43,1427,0
14949,2,67,6370,0
70,2,9,13,1
3,1,2,0,1
152,2,25,0,0
6,2,3,0,1
247,4,8,112,0
22,2,10,0,0
2162,2,56,945,0
8536,3,31,3660,0
14,1,6,6,1
6,1,2,3,1
1813,2,2,796,0
1372,3,55,606,0
1242,2,43,550,0
12927,2,110,5511,0
4031,3,42,1777,0
1160,3,58,508,0
80,2,11,39,1
112,2,6,54,0
144,2,10,67,1
100,2,14,59,0
156,1,13,82,1
1813,2,54,804,0
6664,2,48,2887,0
2989,2,108,1303,0
132,2,26,0,0
29,1,28,0,1
3055,2,60,1323,0
918,2,33,408,0
510,2,41,238,0
165,2,24,90,1
77,2,16,42,1
945,2,60,498,1
1645,2,80,858,1
2773,2,104,1434,1
2891,2,68,1494,1
2989,2,62,1544,1
525,2,44,280,1
10201,2,96,5196,0
3717,2,120,1914,1
4788,2,90,2426,1
6225,2,17,3186,0
